test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,rest_write_read,00:01:00,global information,250,250,0,4.17,17.1,42.88,1145.14,30.34,43.33,78.33,115.9,77.06,0.878,0.879,0.880,0.215,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,graphql_write_read,00:01:00,global information,250,250,0,4.17,13.04,37.96,816.33,30.22,45.57,67.84,105.34,52.75,0.921,0.921,0.921,0.225,0,0,0,0,0,0,0,0,0,0,0,0,0
