test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,rest_deep_graph,00:01:00,global information,990,990,0,16.5,4.3,8.7,243.4,7.44,8.44,12.19,38.94,10.28,1.063,1.063,1.063,1.028,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,graphql_deep_graph,00:01:00,global information,990,990,0,16.5,10.39,20.12,519.49,17.97,20.78,30.02,65.54,18.35,1.993,1.993,1.993,1.927,0,0,0,0,0,0,0,0,0,0,0,0,0
