test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,rest_overfetch,00:01:00,global information,990,990,0,16.5,3.34,6.33,137.72,5.46,6.25,8.3,17.57,6.88,0.523,0.523,0.523,0.506,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,graphql_minimal_fetch,00:01:00,global information,990,990,0,16.5,3.98,7.9,437.7,6.18,7.09,9.49,18.13,23.02,0.457,0.457,0.457,0.442,0,0,0,0,0,0,0,0,0,0,0,0,0
