test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,rest_n_plus_1_list,00:01:00,global information,990,990,0,16.5,7.75,89.03,5266.63,13.5,19.86,72.58,4378.62,543.64,13.432,13.432,13.432,12.986,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,graphql_n_plus_1_list,00:01:00,global information,990,990,0,16.5,13.34,385.52,6924.52,24.59,36.7,4501.5,5238.78,1212.63,19.712,19.712,19.712,19.057,0,0,0,0,0,0,0,0,0,0,0,0,0
